Fri Apr 17 13:01:05 2015

Tid	Sleep	Eat	VE Work	Leisure	
00:01:03	0.100000	0.400000	0.400000	1.000000	
00:02:02	0.100000	0.400000	0.400000	1.000000	
00:03:02	0.100000	0.400000	0.400000	1.000000	
00:04:03	0.100000	0.417000	0.395100	1.000000	
00:05:02	0.100000	0.434000	0.390200	1.000000	
00:06:02	0.100000	0.451000	0.385300	1.000000	
00:07:03	0.100000	0.468000	0.380400	1.000000	
00:08:02	0.100000	0.485000	0.375500	1.000000	
00:09:02	0.100000	0.502000	0.370600	1.000000	
00:10:03	0.100000	0.519000	0.365700	1.000000	
