Fri Apr 17 13:00:02 2015

Tid	Sleep	Eat	VE Work	Leisure	
00:01:03	0.200000	0.600000	0.400000	0.800000	
00:02:02	0.200000	0.600000	0.400000	0.800000	
00:03:02	0.200000	0.600000	0.400000	0.800000	
00:04:03	0.200000	0.600000	0.400000	0.800000	
00:05:02	0.200000	0.617000	0.395100	0.800000	
00:06:02	0.200000	0.634000	0.390200	0.800000	
00:07:03	0.200000	0.651000	0.385300	0.800000	
00:08:02	0.200000	0.668000	0.380400	0.800000	
00:09:02	0.200000	0.685000	0.375500	0.800000	
00:10:03	0.200000	0.702000	0.370600	0.800000	
00:11:02	0.200000	0.719000	0.365700	0.800000	
00:12:02	0.200000	0.736000	0.360800	0.800000	
00:13:03	0.200000	0.753000	0.355900	0.800000	
