Thu Apr 02 13:26:39 2015

Tid	Sleep	Eat	VE Work	Leisure	
00:01:03	0.500000	1.000000	0.900000	1.000000	
00:02:02	0.499653	0.997917	0.900000	1.000000	
00:03:03	0.499305	0.995833	0.900000	1.000000	
00:04:03	0.498958	0.993750	0.900000	1.000000	
00:05:02	0.498611	0.991666	0.900000	1.000000	
00:06:02	0.498264	0.989583	0.900000	1.000000	
00:07:03	0.498916	0.986999	0.900000	1.000000	
00:08:02	0.501569	0.983416	0.900000	1.000000	
00:09:02	0.504222	0.979832	0.900000	1.000000	
00:10:03	0.507875	0.975748	0.900000	1.000000	
00:11:03	0.510527	0.972165	0.900000	1.000000	
00:12:02	0.513180	0.968581	0.900000	1.000000	
00:13:02	0.515833	0.964998	0.900000	1.000000	
00:14:03	0.519485	0.960914	0.900000	1.000000	
00:15:02	0.522138	0.957331	0.900000	1.000000	
00:16:02	0.524791	0.953747	0.900000	1.000000	
00:17:02	0.527443	0.950164	0.900000	1.000000	
00:18:03	0.531096	0.946080	0.900000	1.000000	
00:19:02	0.533749	0.942496	0.900000	1.000000	
00:20:02	0.536402	0.938913	0.900000	1.000000	
00:21:03	0.540054	0.934829	0.900000	1.000000	
00:22:03	0.542707	0.931246	0.900000	1.000000	
00:23:02	0.545360	0.927662	0.900000	1.000000	
00:24:02	0.548012	0.924079	0.900000	1.000000	
00:25:02	0.550665	0.920495	0.900000	1.000000	
00:26:03	0.554318	0.916412	0.900000	1.000000	
00:27:03	0.556970	0.912828	0.900000	1.000000	
00:28:02	0.559623	0.909244	0.900000	1.000000	
00:29:02	0.562276	0.905661	0.900000	1.000000	
00:30:02	0.564929	0.902077	0.900000	1.000000	
00:31:03	0.568581	0.897994	0.900000	1.000000	
00:32:03	0.571234	0.894410	0.900000	1.000000	
00:33:02	0.573887	0.890827	0.900000	1.000000	
00:34:02	0.576539	0.887243	0.900000	1.000000	
00:35:02	0.579192	0.883660	0.900000	1.000000	
00:36:03	0.582845	0.879576	0.900000	1.000000	
00:37:03	0.585497	0.875992	0.900000	1.000000	
00:38:03	0.588150	0.872409	0.900000	1.000000	
00:39:02	0.590803	0.868825	0.900000	1.000000	
00:40:02	0.593456	0.865242	0.900000	1.000000	
00:41:02	0.596108	0.861658	0.900000	1.000000	
00:42:03	0.599761	0.857575	0.900000	1.000000	
00:43:03	0.602414	0.853991	0.900000	1.000000	
00:44:03	0.605066	0.850408	0.900000	1.000000	
00:45:02	0.607719	0.846824	0.900000	1.000000	
00:46:02	0.610372	0.843240	0.900000	1.000000	
00:47:03	0.614025	0.839157	0.900000	1.000000	
00:48:03	0.616677	0.835573	0.900000	1.000000	
00:49:02	0.619330	0.831990	0.900000	1.000000	
00:50:02	0.621983	0.828406	0.900000	1.000000	
00:51:02	0.624635	0.824823	0.900000	1.000000	
00:52:03	0.628288	0.820739	0.900000	1.000000	
00:53:03	0.630941	0.817156	0.900000	1.000000	
00:54:03	0.633593	0.813572	0.900000	1.000000	
00:55:02	0.636246	0.809988	0.900000	1.000000	
00:56:02	0.638899	0.806405	0.900000	1.000000	
00:57:02	0.641552	0.802821	0.900000	1.000000	
00:58:03	0.645204	0.798738	0.900000	1.000000	
00:59:03	0.647857	0.795154	0.900000	1.000000	
00:60:02	0.650510	0.791571	0.900000	1.000000	
01:01:02	0.653162	0.787987	0.900000	1.000000	
01:02:02	0.655815	0.784404	0.900000	1.000000	
01:03:02	0.658468	0.780820	0.900000	1.000000	
01:04:03	0.662120	0.776736	0.900000	1.000000	
01:05:03	0.664773	0.773153	0.900000	1.000000	
01:06:03	0.667426	0.769569	0.900000	1.000000	
01:07:02	0.670079	0.765986	0.900000	1.000000	
01:08:02	0.672731	0.762402	0.900000	1.000000	
01:09:02	0.675384	0.758819	0.900000	1.000000	
01:10:03	0.679037	0.754735	0.900000	1.000000	
01:11:02	0.681689	0.751152	0.900000	1.000000	
01:12:02	0.684342	0.747568	0.900000	1.000000	
01:13:02	0.686995	0.743984	0.900000	1.000000	
01:14:03	0.690647	0.739901	0.900000	1.000000	
01:15:03	0.693300	0.736317	0.900000	1.000000	
01:16:02	0.695953	0.732734	0.900000	1.000000	
01:17:02	0.698606	0.729150	0.900000	1.000000	
01:18:03	0.702258	0.725067	0.900000	1.000000	
01:19:03	0.704911	0.721483	0.900000	1.000000	
01:20:02	0.707564	0.717900	0.900000	1.000000	
01:21:02	0.710216	0.714316	0.900000	1.000000	
01:22:02	0.712869	0.710732	0.900000	1.000000	
01:23:02	0.715522	0.707149	0.900000	1.000000	
01:24:03	0.719175	0.703065	0.900000	1.000000	
01:25:03	0.721827	0.699482	0.900000	1.000000	
01:26:02	0.724480	0.695898	0.900000	1.000000	
01:27:02	0.727133	0.692315	0.900000	1.000000	
01:28:02	0.729785	0.688731	0.900000	1.000000	
01:29:03	0.733438	0.684648	0.900000	1.000000	
01:30:03	0.736091	0.681064	0.900000	1.000000	
01:31:02	0.738743	0.677480	0.900000	1.000000	
01:32:02	0.741396	0.673897	0.900000	1.000000	
01:33:02	0.744049	0.670313	0.900000	1.000000	
